"id","name","parent"
"09331200-0","Modules solaires photovoltaïques","09331000-8"
"09332000-5","Installation solaire","09330000-1"
"09340000-4","Combustibles nucléaires","09300000-2"
"09341000-1","Uranium","09340000-4"
"09342000-8","Plutonium","09340000-4"
"09343000-5","Matériaux radioactifs","09340000-4"
"09344000-2","Radio-isotopes","09340000-4"
"14000000-1","Produits d'exploitation des mines, métaux de base et produits connexes",
"14200000-3","Sable et argile","14000000-1"
"14210000-6","Gravier, sable, pierre concassée et agrégats","14200000-3"
"14211000-3","Sable","14210000-6"
"14211100-4","Sable naturel","14211000-3"
"14212000-0","Granulés, gravillons, sable fin, cailloux, gravier, pierraille et pierre concassée, mélanges de pierres, de grave et autres agrégats","14210000-6"
"14212100-1","Cailloux et gravier","14212000-0"
"14212110-4","Cailloux","14212100-1"
"14212120-7","Gravier","14212100-1"
"14212200-2","Agrégats","14212000-0"
"14212210-5","Grave","14212200-2"
"14212300-3","Pierraille et pierre concassée","14212000-0"
"14212310-6","Ballast","14212300-3"
"14212320-9","Granit concassé","14212300-3"
"14212330-2","Basalte concassé","14212300-3"
"14212400-4","Terre","14212000-0"
"14212410-7","Terre végétale","14212400-4"
"14212420-0","Sous-sol","14212400-4"
"14212430-3","Gravillons","14212400-4"
"14213000-7","Macadam, tarmacadam et sable bitumineux","14210000-6"
"14213100-8","Macadam","14213000-7"
"14213200-9","Tarmacadam","14213000-7"
"14213300-0","Sable bitumineux","14213000-7"
"14220000-9","Argile et kaolin","14200000-3"
"14221000-6","Argile","14220000-9"
"14222000-3","Kaolin","14220000-9"
"14300000-4","Produits inorganiques chimiques et engrais minéraux","14000000-1"
"14310000-7","Engrais minéraux","14300000-4"
"14311000-4","Calcium naturel, phosphate aluminocalcique et sels de potassium naturel brut","14310000-7"
"14311100-5","Calcium naturel","14311000-4"
"14311200-6","Phosphates aluminocalciques","14311000-4"
"14311300-7","Sels de potassium naturel brut","14311000-4"
"14312000-1","Pyrites de fer","14310000-7"
"14312100-2","Pyrites de fer non grillées","14312000-1"
"14320000-0","Produits inorganiques chimiques","14300000-4"
"14400000-5","Sel et chlorure de sodium pur","14000000-1"
"14410000-8","Sel gemme","14400000-5"
"14420000-1","Sel marin","14400000-5"
"14430000-4","Sel concentré par évaporation et chlorure de sodium pur","14400000-5"
"14450000-0","Saumure","14400000-5"
"14500000-6","Produits connexes d'exploitation de mines et de carrières","14000000-1"
"14520000-2","Pierres précieuses et semi-précieuses, pierre ponce, émeri, abrasifs naturels, autres minéraux et métaux précieux","14500000-6"
"14521000-9","Pierres précieuses et semi-précieuses","14520000-2"
"14521100-0","Pierres précieuses","14521000-9"
"14521140-2","Poussière ou poudre de pierres précieuses","14521100-0"
"14521200-1","Pierres semi-précieuses","14521000-9"
"14521210-4","Poussière ou poudre de pierres semi-précieuses","14521200-1"
"14522000-6","Diamants industriels, pierre ponce, émeri et autres abrasifs naturels","14520000-2"
"14522100-7","Pierre ponce","14522000-6"
"14522200-8","Diamants industriels","14522000-6"
"14522300-9","Émeri","14522000-6"
"14522400-0","Abrasifs naturels","14522000-6"
"14523000-3","Minéraux, métaux précieux connexes et produits associés","14520000-2"
"14523100-4","Minéraux","14523000-3"
"14523200-5","Or","14523000-3"
"14523300-6","Argent","14523000-3"
"14523400-7","Platine","14523000-3"
"14600000-7","Minerais de métaux et alliages","14000000-1"
"14610000-0","Minerais de métaux","14600000-7"
"14611000-7","Minerais de fer","14610000-0"
"14612000-4","Minerais de métaux non ferreux","14610000-0"
"14612100-5","Minerais de cuivre","14612000-4"
"14612200-6","Minerais de nickel","14612000-4"
"14612300-7","Minerais d'aluminium","14612000-4"
"14612400-8","Minerais de métaux précieux","14612000-4"
"14612500-9","Minerais de plomb","14612000-4"
"14612600-0","Minerais de zinc","14612000-4"
"14612700-1","Minerais d'étain","14612000-4"
"14613000-1","Minerais d'uranium et de thorium","14610000-0"
"14613100-2","Minerais d'uranium","14613000-1"
"14613200-3","Minerais de thorium","14613000-1"
"14614000-8","Minerais divers","14610000-0"
"14620000-3","Alliages","14600000-7"
"14621000-0","Ferroalliages","14620000-3"
"14621100-1","Ferroalliages hors CECA","14621000-0"
"14621110-4","Ferromanganèse","14621100-1"
"14621120-7","Ferrochrome","14621100-1"
"14621130-0","Ferronickel","14621100-1"
"14622000-7","Acier","14620000-3"
"14630000-6","Scories, laitier, déchets et débris ferreux","14600000-7"
"14700000-8","Métaux de base","14000000-1"
"14710000-1","Fer, plomb, zinc, étain et cuivre","14700000-8"
"14711000-8","Fer","14710000-1"
"14711100-9","Fonte brute","14711000-8"
"14712000-5","Plomb","14710000-1"
"14713000-2","Zinc","14710000-1"
"14714000-9","Étain","14710000-1"
"14715000-6","Cuivre","14710000-1"
"14720000-4","Aluminium, nickel, scandium, titane et vanadium","14700000-8"
"14721000-1","Aluminium","14720000-4"
"14721100-2","Oxyde d'aluminium","14721000-1"
"14722000-8","Nickel","14720000-4"
"14723000-5","Scandium","14720000-4"
"14724000-2","Titane","14720000-4"
"14725000-9","Vanadium","14720000-4"
"14730000-7","Chrome, manganèse, cobalt, yttrium et zirconium","14700000-8"
"14731000-4","Chrome","14730000-7"
"14732000-1","Manganèse","14730000-7"
"14733000-8","Cobalt","14730000-7"
"14734000-5","Yttrium","14730000-7"
"14735000-2","Zirconium","14730000-7"
"14740000-0","Molybdène, technétium, ruthénium et rhodium","14700000-8"
"14741000-7","Molybdène","14740000-0"
"14742000-4","Technétium","14740000-0"
"14743000-1","Ruthénium","14740000-0"
"14744000-8","Rhodium","14740000-0"
"14750000-3","Cadmium, lutétium, hafnium, tantale et tungstène","14700000-8"
"14751000-0","Cadmium","14750000-3"
"14752000-7","Lutétium","14750000-3"
"14753000-4","Hafnium","14750000-3"
"14754000-1","Tantale","14750000-3"
"14755000-8","Tungstène","14750000-3"
"14760000-6","Iridium, gallium, indium, thallium et barium","14700000-8"
"14761000-3","Iridium","14760000-6"
"14762000-0","Gallium","14760000-6"
"14763000-7","Indium","14760000-6"
"14764000-4","Thallium","14760000-6"
"14765000-1","Barium","14760000-6"
"14770000-9","Césium, strontium, rubidium et calcium","14700000-8"
"14771000-6","Césium","14770000-9"
"14772000-3","Strontium","14770000-9"
"14773000-0","Rubidium","14770000-9"
"14774000-7","Calcium","14770000-9"
"14780000-2","Potassium, magnésium, sodium et lithium","14700000-8"
"14781000-9","Potassium","14780000-2"
"14782000-6","Magnésium","14780000-2"
"14783000-3","Sodium","14780000-2"
"14784000-0","Lithium","14780000-2"
"14790000-5","Niobium, osmium, rhénium et palladium","14700000-8"
"14791000-2","Niobium","14790000-5"
"14792000-9","Osmium","14790000-5"
"14793000-6","Rhénium","14790000-5"
"14794000-3","Palladium","14790000-5"
"14800000-9","Produits minéraux non métalliques divers","14000000-1"
"14810000-2","Produits abrasifs","14800000-9"
"14811000-9","Pierres à meuler, pierres à broyer et meules","14810000-2"
"14811100-0","Pierres à meuler","14811000-9"
"14811200-1","Pierres à broyer","14811000-9"
"14811300-2","Meules","14811000-9"
"14812000-6","Poudre ou grains abrasifs","14810000-2"
"14813000-3","Corindon artificiel","14810000-2"
"14814000-0","Graphite artificiel","14810000-2"
"14820000-5","Verre","14800000-9"
"14830000-8","Fibres de verre","14800000-9"
"14900000-0","Matières premières de récupération","14000000-1"
"14910000-3","Matières premières métalliques de récupération","14900000-0"
"14920000-6","Matières premières non métalliques de récupération","14900000-0"
"14930000-9","Cendres et résidus contenant des métaux","14900000-0"
"15000000-8","Produits alimentaires, boissons, tabac et produits connexes",
"15100000-9","Produits de l'élevage, viande et produits à base de viande","15000000-8"
"15110000-2","Viande","15100000-9"
"15111000-9","Viande bovine","15110000-2"
"15111100-0","Viande de bœuf","15111000-9"
"15111200-1","Viande de veau","15111000-9"
"15112000-6","Volaille","15110000-2"
"15112100-7","Volaille fraîche","15112000-6"
"15112110-0","Oies","15112100-7"
"15112120-3","Dindes","15112100-7"
"15112130-6","Poulets","15112100-7"
"15112140-9","Canards","15112100-7"
"15112300-9","Foies de volaille","15112000-6"
"15112310-2","Foie gras","15112300-9"
"15113000-3","Viande de porc","15110000-2"
"15114000-0","Abats","15110000-2"
"15115000-7","Viande d'agneau et de mouton","15110000-2"
"15115100-8","Viande d'agneau","15115000-7"
"15115200-9","Viande de mouton","15115000-7"
"15117000-1","Viande de chèvre","15110000-2"
"15118000-8","Viande de cheval, d'âne, de mule ou de bardot","15110000-2"
"15118100-9","Viande de cheval","15118000-8"
"15118900-7","Viande d'âne, de mule ou de bardot","15118000-8"
"15119000-5","Viandes diverses","15110000-2"
"15119100-6","Viande de lapin","15119000-5"
"15119200-7","Viande de lièvre","15119000-5"
"15119300-8","Gibier","15119000-5"
"15119400-9","Cuisses de grenouilles","15119000-5"
"15119500-0","Pigeons","15119000-5"
"15119600-1","Chair de poisson","15119000-5"
"15130000-8","Produits à base de viande","15100000-9"
"15131000-5","Conserves et préparations à base de viande","15130000-8"
"15131100-6","Produits à base de chair à saucisse","15131000-5"
"15131110-9","Chair à saucisse","15131100-6"
"15131120-2","Charcuterie","15131100-6"
"15131130-5","Saucisses","15131100-6"
"15131134-3","Boudin noir et autres saucisses à base de sang","15131130-5"
"15131135-0","Saucisses de volaille","15131130-5"
"15131200-7","Viande séchée, salée, fumée ou assaisonnée","15131000-5"
"15131210-0","Jambon fumé","15131200-7"
"15131220-3","Lard","15131200-7"
"15131230-6","Salami","15131200-7"
"15131300-8","Préparations à base de foie","15131000-5"
"15131310-1","Pâté","15131300-8"
"15131320-4","Préparations à base de foie d'oie ou de canard","15131300-8"
"15131400-9","Produits à base de porc","15131000-5"
"15131410-2","Jambon","15131400-9"
"15131420-5","Boulettes de viande","15131400-9"
"15131490-6","Plats préparés de porc","15131400-9"
"15131500-0","Produits à base de volaille","15131000-5"
"15131600-1","Produits à base de bœuf et de veau","15131000-5"
"15131610-4","Boulettes de bœuf","15131600-1"
"15131620-7","Viande de bœuf hachée","15131600-1"
"15131640-3","Steaks hachés de bœuf","15131600-1"
"15131700-2","Préparations à base de viande","15131000-5"
"15200000-0","Poisson préparé et conserves de poisson","15000000-8"
"15210000-3","Filets de poisson, foie et œufs ou laitance de poisson","15200000-0"
"15211000-0","Filets de poisson","15210000-3"
"15211100-1","Filets de poisson frais","15211000-0"
"15212000-7","Œufs ou laitance de poisson","15210000-3"
"15213000-4","Foie de poisson","15210000-3"
"15220000-6","Poisson, filets de poisson et autre chair de poisson congelés","15200000-0"
"15221000-3","Poisson congelé","15220000-6"
"15229000-9","Produits congelés à base de poisson","15220000-6"
"15230000-9","Poisson séché ou salé; poisson en saumure; poisson fumé","15200000-0"
"15231000-6","Poisson séché","15230000-9"
"15232000-3","Poisson salé","15230000-9"
"15233000-0","Poisson en saumure","15230000-9"
"15234000-7","Poisson fumé","15230000-9"
"15235000-4","Conserves de poisson","15230000-9"
"15240000-2","Poisson en conserve ou en boîte et autres poissons préparés ou en conserve","15200000-0"
"15241000-9","Poisson pané ou autrement enrobé, en conserve ou en boîte","15240000-2"
"15241100-0","Saumon en conserve","15241000-9"
"15241200-1","Hareng préparé ou en conserve","15241000-9"
"15241300-2","Sardines","15241000-9"
"15241400-3","Thon en conserve","15241000-9"
"15241500-4","Maquereaux","15241000-9"
"15241600-5","Anchois","15241000-9"
"15241700-6","Bâtonnets de poisson","15241000-9"
"15241800-7","Préparations à base de poisson pané ou autrement enrobé","15241000-9"
"15242000-6","Plats préparés de poisson","15240000-2"
"15243000-3","Préparations à base de poisson","15240000-2"
"15244000-0","Caviar et œufs de poissons","15240000-2"
"15244100-1","Caviar","15244000-0"
"15244200-2","Œufs de poissons","15244000-0"
"15250000-5","Fruits de mer","15200000-0"
"15251000-2","Crustacés congelés","15250000-5"
"15252000-9","Crustacés préparés ou en conserve","15250000-5"
"15253000-6","Produits à base de mollusques","15250000-5"
"15300000-1","Fruits, légumes et produits connexes","15000000-8"
"15310000-4","Pommes de terre et produits à base de pomme de terre","15300000-1"
"15311000-1","Pommes de terre congelées","15310000-4"
"15311100-2","Chips et pommes frites","15311000-1"
"15311200-3","Pommes de terre coupées en dés, en tranches et autres pommes de terre congelées","15311000-1"
"15312000-8","Produits à base de pommes de terre","15310000-4"
"15312100-9","Purée de pommes de terre instantanée","15312000-8"
"15312200-0","Pommes de terre préfrites","15312000-8"
"15312300-1","Pommes chips","15312000-8"
"15312310-4","Pommes chips aromatisées","15312300-1"
"15312400-2","Produits apéritifs à base de pommes de terre","15312000-8"
"15312500-3","Croquettes de pommes de terre","15312000-8"
"15313000-5","Pommes de terre transformées","15310000-4"
"15320000-7","Jus de fruits et de légumes","15300000-1"
"15321000-4","Jus de fruits","15320000-7"
"15321100-5","Jus d'orange","15321000-4"
"15321200-6","Jus de pamplemousse","15321000-4"
"15321300-7","Jus de citron","15321000-4"
"15321400-8","Jus d'ananas","15321000-4"
"15321500-9","Jus de raisin","15321000-4"
"15321600-0","Jus de pomme","15321000-4"
"15321700-1","Mélanges de jus non concentrés","15321000-4"
"15321800-2","Jus concentrés","15321000-4"
"15322000-1","Jus de légumes","15320000-7"
"15322100-2","Jus de tomate","15322000-1"
